,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased
80,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,24662,127,24252,283
81,KA,Karnataka,KA_Tumakuru,Tumakuru,24507,341,23789,377
82,KL,Kerala,KL_Kasaragod,Kasaragod,24064,1595,22380,85
83,JK,Jammu and Kashmir,JK_Jammu,Jammu,23726,846,22525,355
84,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,23591,23572,17,2
85,MH,Maharashtra,MH_Latur,Latur,23264,387,22193,680
86,MH,Maharashtra,MH_Chandrapur,Chandrapur,23226,775,22061,389
87,KA,Karnataka,KA_Udupi,Udupi,23039,62,22789,188
88,CT,Chhattisgarh,CT_Durg,Durg,22601,1502,20535,564
89,UP,Uttar Pradesh,UP_Varanasi,Varanasi,22511,698,21379,434
90,KA,Karnataka,KA_Shivamogga,Shivamogga,22025,194,21483,348
91,KA,Karnataka,KA_Davanagere,Davanagere,22011,116,21631,264
92,KA,Karnataka,KA_Dharwad,Dharwad,21859,111,21140,608
93,OR,Odisha,OR_Ganjam,Ganjam,21805,19,21532,254
94,UP,Uttar Pradesh,UP_Meerut,Meerut,21696,1075,20194,427
95,WB,West Bengal,WB_Nadia,Nadia,21622,685,20652,285
96,RJ,Rajasthan,RJ_Alwar,Alwar,21412,369,20965,78
97,MH,Maharashtra,MH_Nanded,Nanded,21310,384,20260,661
98,CT,Chhattisgarh,CT_Raigarh,Raigarh,21233,219,20732,282
99,KA,Karnataka,KA_Kalaburagi,Kalaburagi,21065,197,20545,323
100,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,20960,253,20367,340
101,TN,Tamil Nadu,TN_Madurai,Madurai,20519,177,19890,452
102,TN,Tamil Nadu,TN_Vellore,Vellore,20192,175,19677,340
103,GJ,Gujarat,GJ_Rajkot,Rajkot,20100,1019,18890,191
104,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,20041,534,19235,272
105,MH,Maharashtra,MH_Amravati,Amravati,19997,501,19113,381
106,PB,Punjab,PB_Jalandhar,Jalandhar,19885,397,18848,640
107,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,19807,455,19056,296
108,CH,Chandigarh,CH_Chandigarh,Chandigarh,19682,399,18967,316
109,KA,Karnataka,KA_Mandya,Mandya,19418,154,19117,147
110,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,19135,91,18763,281
111,RJ,Rajasthan,RJ_Bikaner,Bikaner,18988,76,18746,166
112,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,18985,18975,9,1
113,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,18571,135,18219,217
114,RJ,Rajasthan,RJ_Kota,Kota,18469,568,17736,165
115,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,18260,1196,16897,167
116,KA,Karnataka,KA_Bengaluru Rural,Bengaluru Rural,18236,256,17828,152
117,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,18143,1153,16651,339
118,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,17888,432,17267,189
119,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,17885,227,17303,355
120,WB,West Bengal,WB_Darjeeling,Darjeeling,17785,503,17085,197
121,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,17141,215,16690,236
122,MH,Maharashtra,MH_Beed,Beed,17036,314,16194,521
123,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,17017,319,16482,216
124,HR,Haryana,HR_Hisar,Hisar,16934,73,16544,317
125,TN,Tamil Nadu,TN_Theni,Theni,16889,71,16614,204
126,MH,Maharashtra,MH_Osmanabad,Osmanabad,16831,195,16098,536
127,KL,Kerala,KL_Wayanad,Wayanad,16758,2742,13966,49
128,RJ,Rajasthan,RJ_Ajmer,Ajmer,16492,350,15923,219
129,KL,Kerala,KL_Idukki,Idukki,16342,3008,13314,17
130,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,16329,96,16005,228
131,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,16315,128,15931,256
132,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,16061,80,15840,141
133,CT,Chhattisgarh,CT_Korba,Korba,15987,161,15716,110
134,TN,Tamil Nadu,TN_Ranipet,Ranipet,15903,56,15666,181
135,MP,Madhya Pradesh,MP_Gwalior,Gwalior,15894,341,15354,199
136,PB,Punjab,PB_Patiala,Patiala,15727,245,15005,477
137,MH,Maharashtra,MH_Dhule,Dhule,15622,240,15035,344
138,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,15489,489,14759,241
139,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,15401,552,14697,152
140,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,15282,130,14941,211
141,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,14981,97,14774,110
142,OR,Odisha,OR_Sundargarh,Sundargarh,14635,337,14128,170
143,HR,Haryana,HR_Sonipat,Sonipat,14506,199,14228,79
144,PB,Punjab,PB_Amritsar,Amritsar,14487,423,13513,551
145,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,14338,396,13787,155
146,KA,Karnataka,KA_Chitradurga,Chitradurga,14250,157,14025,68
147,KA,Karnataka,KA_Uttara Kannada,Uttara Kannada,14219,87,13956,176
148,KA,Karnataka,KA_Vijayapura,Vijayapura,14182,84,13894,204
